"Celsius","Fahrenheit"
-4.31,23.1
27.72,82.22
40.18,104.38
-15.68,2.84
10.2,49.32
-12.05,10.62
17.76,62.19
-31.05,-23.08
-28.99,-22.22
-38.03,-36.07
-12.35,8.76
22.14,69.41
-6.69,21.99
8.86,48.52
25.93,78.84
16.32,60.94
-19.14,-1.86
20.67,71.64
23.78,75.5
-36.34,-34.46
-34.15,-29.38
18.11,66.29
-15.09,5.29
-13.39,7.5
14.95,56.84
33.78,93.85
-4.13,24.97
38.12,102.72
-23.77,-10.74
-3.32,26.96
-31.77,-26.12
27.35,80.55
-38.48,-37.89
-11.3,11.72
-32.75,-27.67
-21.86,-5.51
-26.39,-14.42
-27.43,-16.37
-30.21,-20.64
8.02,45.85
